	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
Pericyte_Muscularis	11422959	0.0037460728284303114	11	3	5	7	6	2	0.00016206057939176504	0.22408918887159415	5.8350440148837714	0.0940477374845773	3.6919266829081168	0.018698163868330654	2.193218571482831	0.04532414409133598	2.8208723250534176	0.23158940609946477	5.966368830851275	2.3218988751914575
Plasma_B	21442718	0.007031976851837912	46	3	7	9	10	3	1.9207850324910375e-27	0.11606641682276278	28.564855248559404	0.1218508693268332	29.2248501436376	0.04986600864244443	20.516522635930354	0.02701520158493523	17.034341451514216	0.11606641682276278	28.564855248559404	13.802247024953106
Satellite	8163905	0.0026772907697897156	6	1	3	6	5	1	0.013761753784757995	0.2608788549701447	3.189599429306642	0.1869838461436312	2.556078917279398	0.013761753784757995	1.0	0.03999805391623393	1.331457767465138	0.2608788549701447	3.189599429306642	1.3075953391302875
Schwann_General	33301569	0.010920997158004084	21	14	8	11	11	7	0.00011188400687416445	0.023005084994397847	2.411970147285162	0.1385721868527748	4.603427510465884	0.0843564655242817	3.679392491773212	0.0843564655242817	3.679392491773212	0.13089992027475353	4.4744742415042005	2.142982435664196
SI_Goblet	18242995	0.0059826519449724044	15	3	6	9	9	4	6.772549850281515e-05	0.16136670852577997	5.262965360240311	0.1338454024888818	4.773602354938336	0.026125077992861543	2.6338594367909844	0.026125077992861543	2.6338594367909844	0.18720097260450097	5.729413497828829	2.3785551797409505
Skin_Basal_Epidermal	1835389	0.0006019019119739361	0	0	1	1	1	0	0.6274995401528024	0.6274995401528024	1.0	0.29251057856360535	0.37910161070616044	0.29251057856360535	0.37910161070616044	0.29251057856360535	0.37910161070616044	0.6274995401528024	1.0	0.5158151231069
Skin_Eccrine_Epidermal	4966347	0.0016286758582654802	2	0	2	3	4	1	0.2254549463905126	0.2831940915113785	1.1807292616151888	0.2254549463905126	1.0	0.09464515222701898	0.6318382700377725	0.02976016407720053	0.42384381729220794	0.3575754626807191	1.448485130663504	0.5991480227760139
Skin_Granular_Epidermal	11458048	0.0037575800000376673	8	4	7	8	5	2	0.006847375748195031	0.16296223443839233	2.747099945663676	0.0189354476995177	1.2564260492149835	0.006847375748195031	1.0	0.09465659920867961	2.114057465885338	0.23094583126312884	3.400644586192746	1.207734811208474
Sm_Ms_Colon_1	34702688	0.011380483514848879	24	13	11	13	14	9	1.000836277657936e-05	0.04598789786004288	3.7384475854144803	0.09311627162114137	4.849428711986455	0.04598789786004288	3.7384475854144803	0.028776085390938084	3.2444775177846314	0.1322514374865378	5.690461238548371	2.3957104812785643
Sm_Ms_Colon_2	22789765	0.007473730706099192	17	10	7	13	9	3	7.319944496619472e-05	0.03536414199534971	2.8492401462123627	0.13268558632532398	4.7145510403460635	0.003908454095406591	1.717400675116903	0.061391218780056545	3.4124214522105167	0.09887548578035668	4.115280547453019	1.9006394007022231
Sm_Ms_GE_junction	28079116	0.0092083332780887	19	12	8	12	13	6	9.780731134391578e-05	0.028579610891881102	2.5970044824691283	0.13322014875833943	4.580181495639482	0.028579610891881102	2.5970044824691283	0.015569211373551392	2.2180420587906124	0.14662363732846626	4.808884458866786	1.9027899540652637
Sm_Ms_General	7994833	0.0026218448888014035	5	2	4	7	5	3	0.03759782501356393	0.27096309268023694	2.512542331688838	0.09287415139787988	1.3805156282613351	0.0036533836210267674	0.5845954609275757	0.03759782501356393	1.0	0.1832961440882716	1.9336957522366816	0.8587522974705747
